Rk,team,G,MP,FG.,Dist.,X2P,X0.3,X3.10,X10.16,X16.3P,X3P,X2P.1,X0.3.1,X3.10.1,X10.16.1,X16.3P.1,X3P.1,X2P.2,X3P.2,X.FGA,Md.,X.FGA.1,Md..1,X.3PA,X3P.,Att.,Md..2,year
23,philadelphia 76ers,82,19755,0.459,10.8,0.836,0.382,0.112,0.138,0.204,0.164,0.486,0.598,0.385,0.397,0.394,0.318,0.516,0.809,0.074,458,0.293,984,0.285,0.348,15,1,2008
24,phoenix suns,82,19755,0.504,10.9,0.784,0.363,0.164,0.1,0.158,0.216,0.537,0.665,0.442,0.387,0.437,0.383,0.52,0.796,0.078,471,0.271,1105,0.297,0.394,18,0,2008
25,portland trail blazers,82,19830,0.465,12.8,0.761,0.294,0.126,0.109,0.231,0.239,0.49,0.621,0.419,0.382,0.414,0.383,0.467,0.901,0.075,437,0.198,693,0.395,0.402,29,1,2008
26,sacramento kings,82,19905,0.447,12.7,0.762,0.29,0.141,0.103,0.229,0.238,0.472,0.596,0.378,0.408,0.402,0.368,0.481,0.79,0.044,268,0.227,840,0.269,0.421,17,0,2008
27,san antonio spurs,82,19905,0.466,13.4,0.752,0.253,0.14,0.109,0.25,0.248,0.492,0.616,0.456,0.405,0.424,0.386,0.489,0.885,0.012,75,0.234,914,0.376,0.394,9,0,2008
28,toronto raptors,82,19805,0.458,13.1,0.807,0.264,0.117,0.132,0.294,0.193,0.478,0.601,0.42,0.375,0.438,0.372,0.543,0.91,0.054,318,0.193,692,0.247,0.421,16,0,2008
29,utah jazz,82,19880,0.475,11.2,0.831,0.379,0.101,0.091,0.259,0.169,0.5,0.614,0.371,0.422,0.412,0.349,0.609,0.893,0.068,412,0.289,1057,0.205,0.4,9,0,2008
30,washington wizards,82,19705,0.45,11.9,0.82,0.317,0.154,0.107,0.242,0.18,0.476,0.614,0.386,0.383,0.395,0.33,0.506,0.825,0.043,276,0.261,969,0.192,0.326,6,0,2008
NA,league average,82,19826,0.459,12.4,0.776,0.314,0.124,0.111,0.227,0.224,0.485,0.602,0.412,0.395,0.407,0.367,0.501,0.859,0.051,312,0.247,898,0.274,0.395,14.8,0.3,2008
1,atlanta hawks,82,19730,0.466,12.7,0.679,0.291,0.157,0.08,0.151,0.321,0.506,0.635,0.393,0.386,0.441,0.38,0.591,0.918,0.038,225,0.249,1000,0.275,0.421,3,0,2014
